Engagements,Followers at Posting,Type,Description,Month,Weekday,Seconds
502093,36984682,Video,The @raptors bench trio of @sergeibaka @normanpowell4 & @fredvanvleet combine for 48 in Game 4!,May,Wednesday,12651
603380,36984682,Video,@kyle_lowry7 pulls from deep for the @raptors in the 4th on TNT!,May,Wednesday,10413
603380,36984682,Video,@k_mid22 with some english on the @bucks dime!,May,Wednesday,8398
725100,36984682,Video,Kawhi punches it home with the left on TNT!,May,Wednesday,7361
661446,36984682,Video,@giannis_an34 goes baseline early to rock the rim on TNT!,May,Wednesday,2869
322444,36955156,Photo,"Congrats to the 2018-19 NBA All-Rookie First Team, led by unanimous selections @lukadoncic & @traeyoung!",May,Tuesday,64952
722540,36955156,Video,The @warriors locked in for four games to advance to the #NBAFinals presented by YouTube TV! #GatoradeZero,May,Tuesday,59453
339265,36955156,Photo,Will the @bucks take a commanding 3-1 lead... or will the @raptors even the ECF up 2-2??,May,Tuesday,46742
443330,36955156,Photo,TAP to SHOP the @warriors Western Conference Champions gear from @nbastore!,May,Tuesday,17296
652193,36955156,Video,Hey @stephencurry30... that was the first time teammates had triple-doubles in the same #NBAPlayoffs game in @nbahistory!,May,Tuesday,16698
652193,36955156,Video,@stephencurry30 (37/13/11) & @money23green (18/14/11) become the first teammates in #NBAPlayoffs history to record a triple-double in the same game!,May,Tuesday,16273
443330,36955156,Photo,The @warriors defeat @trailblazers 119-117 to advance to their 5th consecutive #NBAFinals presented by YouTube TV!,May,Tuesday,15853
713427,36955156,Video,@money23green (18/14/11) reacts to a 5th straight #NBAFinals appearance with the @warriors!,May,Tuesday,15666
470233,36955156,Photo,The @warriors win the West & advance to their 5th consecutive #NBAFinals presented by YouTube TV!,May,Tuesday,14079
675091,36955156,Video,@money23green triple extends the @warriors lead late in OT on ESPN! #NBAPlayoffs,May,Tuesday,13536
443543,36955156,Photo,@stephencurry30 & @money23green become the first teammates in @nbahistory to record triple-doubles in the same #NBAPlayoffs game!,May,Tuesday,12804
718485,36955156,Video,?? @meyersleonard11! ?? (??: ESPN),May,Tuesday,12565
427347,36955156,Photo,@money23green notches the triple-double for the @warriors with 14/12/11 in the 4th! #TripleDoubleAlert,May,Tuesday,12474
696779,36955156,Video,@stephencurry30 dime & hesi in the 4th on ESPN! #NBAPlayoffs,May,Tuesday,12251
569271,36955156,Photo,@stephencurry30 notches the triple-double for the @warriors with 37/10/10 in the 4th! #TripleDoubleAlert,May,Tuesday,12121
603391,36955156,Video,@damianlillard uses his dribble into the @trailblazers triple!,May,Tuesday,9642
603391,36955156,Video,@meyersleonard11 puts up 25 in the first half for the @trailblazers on ESPN!,May,Tuesday,9181
711819,36955156,Video,@stephencurry30 tosses it up early on ESPN!,May,Tuesday,5173
404760,36955156,Photo,"@money23green arrives for Game 4 of the Western Conference Finals, preparing for action with his #PowerbeatsPro ??",May,Tuesday,1906
534517,36928789,Video,In @budweiserusa #LegendaryMoments history.. we showcase Brandon Roys 18-point 4th qtr to overcome @trailblazers 23-point deficit in 2011! Who do you think will take Game 4... the @trailblazers or @warriors?,May,Monday,78874
590945,36928789,Video,"@money23green showcases his ?? IQ on both ends of the floor! #NBABreakdown
...
??: @warriors x @trailblazers G4
?: 9:00pm/et ??: @nbaonespn",May,Monday,57919
354472,36928789,Photo,Its WIN or Go Home for the @trailblazers... as the @warriors look to advance... 9:00pm/et @nbaonespn!,May,Monday,50824
412221,36928789,Photo,The @raptors get on the board at home in the Eastern Conference Finals!,May,Monday,17116
646075,36928789,Video,Kawhi on tonights gritty @raptors 2OT win with @kristenledlow!,May,Monday,11373
708249,36928789,Video,Kawhi Leonard scores 19 of his game-high 36 in the 4th & OT periods to power the @raptors in Game 3 of the ECF!,May,Monday,10150
708249,36928789,Video,The @raptors take Game 3 of the Eastern Conference Finals in exciting fashion!,May,Monday,9602
366002,36928789,Photo,The @raptors (1-2) defeat the @bucks 118-112 in double-OT at home in Game 3 of the Eastern Conference Finals! #NBAPlayoffs,May,Monday,8358
843345,36928789,Video,?? KAWHI! ??,May,Monday,7213
589358,36928789,Video,@k_mid22s second chance sends @bucks/@raptors to OT on TNT!,May,Monday,5655
646075,36928789,Video,?? @reggiemillertnt predicts the @fredvanvleet triple! ??,May,Monday,5197
443147,36928789,Photo,Offense or Defense?,May,Monday,2628
843345,36928789,Video,???? Suction Cups! ????,May,Monday,2239
686948,36928789,Video,@pskills43 muscles his way through the lane in Game 3! #NBAPlayoffs (??: @nbaontnt),May,Monday,2158
708249,36928789,Video,Kawhi Leonard steps back the @raptors triple on TNT!,May,Monday,548
646086,36899744,Video,@marcgasol droppin dimes early on TNT for the @raptors!,May,Sunday,84390
591423,36899744,Video,"?? BROOK LOPEZ MICD UP! ??
...
??: @bucks x @raptors G3
?: 7pm/et ??: @nbaontnt",May,Sunday,65660
554182,36899744,Video,Superstars on both sides... the Eastern Conference Finals between the @bucks & @raptors continues 7:00pm/et @nbaontnt!,May,Sunday,56616
367570,36899744,Photo,"The Eastern Conference Finals heads up to Toronto for Game 3, 7:00pm/et @nbaontnt!",May,Sunday,47222
436512,36899744,Photo,The @warriors sit one win away from the #NBAFinals presented by @youtube TV with 3-0 Western Conference Finals lead.,May,Sunday,19461
815419,36899744,Video,@stephencurry30 puts up 36 to lead the @warriors in Game 3 victory!,May,Sunday,15251
436512,36899744,Album,@money23green puts up 20p/13r/12a in the @warriors Game 3 victory!,May,Sunday,14958
505848,36899744,Photo,The @warriors take 3-0 Western Conference Finals lead with 110-99 victory in Portland!,May,Sunday,14256
762187,36899744,Video,@stephencurry30 with the shake & triple!,May,Sunday,13011
